Country,Leading export market,Leading import source
 Afghanistan, India, Iran
 Albania, European Union, European Union
 Algeria, European Union, European Union
 Angola, China, European Union
 Antigua and Barbuda, United States, United States
 Argentina, Brazil, Brazil
 Armenia, European Union, Russia
 Australia, China, China
 Austria, European Union, European Union
 Azerbaijan, European Union, European Union
 Bahamas, United States, United States
 Bahrain, Saudi Arabia, European Union
 Bangladesh, European Union, China
 Barbados, United States, United States
 Belarus, Russia, Russia
 Belgium, European Union, European Union
 Belize, European Union, United States
 Benin, India, European Union
 Bhutan, India, India
 Bolivia, Brazil, China
 Bosnia, European Union, European Union
 Botswana, European Union, South Africa
 Brazil, China, European Union
 Brunei, Japan, Malaysia
 Bulgaria, European Union, European Union
 Burkina Faso,  Switzerland, European Union
 Burundi, DR Congo, European Union
 Cambodia, European Union, China
 Cameroon, European Union, European Union
 Canada, United States, United States
 Cape Verde, European Union, European Union
 Central African Republic, European Union, European Union
 Chad, United States, European Union
 Chile, China, China
 China, United States, European Union
 Colombia, United States, United States
 Comoros, European Union, European Union
 Congo, China, European Union
" Congo, Democratic Republic of the", China, European Union
 Costa Rica, United States, United States
 Croatia, European Union, European Union
 Cuba, Russia, China
 Cyprus, European Union, European Union
 Czech Republic, European Union, European Union
 Denmark, European Union, European Union
 Djibouti, Ethiopia, European Union
 Dominica, Trinidad and Tobago, United States
 Dominican Republic, United States, United States
 Ecuador, United States, United States
 Egypt, European Union, European Union
 El Salvador, United States, United States
 Equatorial Guinea, European Union, European Union
 Eritrea, China, European Union
 Estonia, European Union, European Union
 Ethiopia, European Union, China
 European Union, United States, China
 Federated States of Micronesia, Guam, United States
 Fiji, United States, Singapore
 Finland, European Union, European Union
 France, European Union, European Union
 Gabon, United States, European Union
 Gambia, Mali, European Union
 Georgia, European Union, European Union
 Germany, European Union, European Union
 Ghana, European Union, European Union
 Greece, European Union, European Union
 Grenada, Dominica, United States
 Guatemala, United States, United States
 Guinea, European Union, European Union
 Guinea-Bissau, India, European Union
 Guyana, Canada, Trinidad and Tobago
 Haiti, United States, United States
 Honduras, United States, United States
 Hong Kong, China, China
 Hungary, European Union, European Union
 Iceland, European Union, European Union
 India, European Union, China
 Indonesia, China, China
 Iran, China, United Arab Emirates
 Iraq, China, China
 Ireland, European Union, European Union
 Israel, United States, European Union
 Italy, European Union, European Union
 Ivory Coast, European Union, European Union
 Jamaica, United States, United States
 Japan, United States, China
 Jordan, United States, European Union
 Kazakhstan, European Union, Russia
 Kenya, European Union, India
 Kiribati, Morocco, Australia
" Korea, North", China, China
" Korea, South", China, China
 Kuwait, South Korea, European Union
 Kyrgyzstan,  Switzerland, China
 Laos, Thailand, Thailand
 Latvia, European Union, European Union
 Lebanon, Saudi Arabia, European Union
 Lesotho, South Africa, South Africa
 Libya, European Union, European Union
 Lithuania, European Union, European Union
 Luxembourg, European Union, European Union
 Macau, Hong Kong, Hong Kong
 Macedonia, European Union, European Union
 Madagascar, European Union, China
 Malawi, European Union, South Africa
 Malaysia, Singapore, China
 Maldives, European Union, United Arab Emirates
 Mali, South Africa, Senegal
 Malta, European Union, European Union
 Mauritania, China, European Union
 Mauritius, European Union, European Union
 Mexico, United States, United States
 Moldova, European Union, European Union
 Mongolia, China, China
 Montenegro, European Union, European Union
 Morocco, European Union, European Union
 Mozambique, European Union, South Africa
 Myanmar, China, China
 Namibia,  Switzerland, South Africa
   Nepal, India, India
 Netherlands, European Union, European Union
 New Zealand, China, China
 Nicaragua, United States, United States
 Niger, European Union, European Union
 Nigeria, European Union, European Union
 Norway, European Union, European Union
 Oman, China, United Arab Emirates
 Pakistan, European Union, China
 Panama, European Union, United States
 Papua New Guinea, Singapore, Australia
 Paraguay, Brazil, China
 Peru, China, China
 Philippines, Japan, China
 Poland, European Union, European Union
 Portugal, European Union, European Union
 Qatar, Japan, European Union
 Romania, European Union, European Union
 Russia, European Union, European Union
 Rwanda, DR Congo, China
 Saint Kitts and Nevis, United States, United States
 Saint Lucia, United States, United States
 Saint Vincent and the Grenadines, Barbados, United States
 Samoa, Australia, New Zealand
 Sao Tome and Principe, European Union, European Union
 Saudi Arabia, China, European Union
 Senegal, Mali, European Union
 Serbia, European Union, European Union
 Seychelles, European Union, European Union
 Sierra Leone, Ivory Coast, European Union
 Singapore, China, China
 Slovakia, European Union, European Union
 Slovenia, European Union, European Union
 Solomon Islands, China, Australia
 Somalia, Saudi Arabia, India
 South Africa, European Union, European Union
 Spain, European Union, European Union
 Sri Lanka, European Union, China
 Sudan, China, China
 Suriname, United States, United States
 Swaziland, South Africa, South Africa
 Sweden, European Union, European Union
  Switzerland, European Union, European Union
 Syria, European Union, European Union
 Taiwan, China, China
 Tajikistan, Turkey, Russia
 Tanzania,  Switzerland, India
 Thailand, United States, China
 Togo, Benin, European Union
 Tonga, New Zealand, New Zealand
 Trinidad and Tobago, United States, United States
 Tunisia, European Union, European Union
 Turkey, European Union, European Union
 Turkmenistan, China, Turkey
 Uganda, European Union, India
 Ukraine, European Union, European Union
 United Arab Emirates, European Union, European Union
 United Kingdom, European Union, European Union
 United States, European Union, China
 Uruguay, Brazil, China
 Uzbekistan,  Switzerland, China
 Vanuatu, Malaysia, Australia
 Venezuela, United States, United States
 Vietnam, United States, China
 Yemen, Saudi Arabia, United Arab Emirates
 Zambia,  Switzerland, South Africa
 Zimbabwe, South Africa, South Africa